Company ID,Company Name,Alias,Industry ID,Industry,Sub Industry,Company Type,Headquarters,Country,Website,LinkedIn,Company Size,Employee Count,Annual Revenue Estimate,Business Description,Main Products/Services,Current Technologies,Branch Count,Operating Regions,Decision Maker Level,Existing Vendor,Existing Relationship,Potential Score,Strategic Priority,Business Challenges,Known Pain Points,Potential Needs,Cross Selling Potential,Upselling Potential,Risk Level,Last Updated,Data Source,Notes
COMP-041,PT Vale Indonesia Tbk,Vale Indonesia,IND-000005,Mining & Quarrying,Nickel Mining,Public Company (Tbk),Jakarta / Sulawesi ops,Indonesia,https://www.vale.com/indonesia,,Enterprise,Public filings,Public filings,Nickel mining and processing company operating in Indonesia.,Nickel in matte / related products,Mine/process OT systems,Key Indonesian operations,Indonesia,C-Level,,,,,"Commodity cycles, community & ESG",Energy for processing,"Energy transition for ops, ESG assurance",,,Medium-High,2026-07-10,SRC-000001;SRC-000004;SRC-000006,confidence=0.90 | sources=SRC-000001;SRC-000004;SRC-000006 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-042,PT Bukit Asam Tbk,PTBA,IND-000005,Mining & Quarrying,Coal Mining,SOE Public (Tbk),Tanjung Enim / Jakarta,Indonesia,https://www.ptba.co.id,,Enterprise,Public filings,Public filings,State-linked coal mining company.,Coal production and sales,Mine ops systems,Sumatra operations,Indonesia + export,C-Level,,,,,Energy transition risk,Logistics constraints,"Mine productivity, diversification studies",,,Medium-High,2026-07-10,SRC-000001;SRC-000004,confidence=0.90 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-043,PT Pertamina (Persero),Pertamina,IND-000006,Oil & Gas,Integrated Energy SOE,State-Owned Enterprise,Jakarta,Indonesia,https://www.pertamina.com,,Enterprise,Public materials,Public materials,Indonesia's national energy company spanning oil & gas and energy transition initiatives.,Upstream/downstream energy products and retail fuel network,"Refining, logistics, retail systems",Nationwide,Indonesia + international interests,C-Level / Board,,,,,"Energy transition, refining margins",Complex legacy estates,"Digital ops, renewable portfolio build-out",,,Medium-High,2026-07-10,SRC-000001;SRC-000004;SRC-000006,confidence=0.92 | sources=SRC-000001;SRC-000004;SRC-000006 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-044,PT PLN (Persero),PLN,IND-000007,Electricity & Utilities,Electric Utility,State-Owned Enterprise,Jakarta,Indonesia,https://web.pln.co.id,,Enterprise,Public materials,Public materials,"National electricity utility responsible for generation, transmission, and distribution.",Electricity supply and related services,"Grid OT/IT, customer systems",Nationwide,Indonesia,C-Level / Board,,,,,"Demand growth, generation mix transition",Grid reliability and losses,"Smart grid, AMI, renewable integration",,,Medium,2026-07-10,SRC-000001;SRC-000004;SRC-000006,confidence=0.93 | sources=SRC-000001;SRC-000004;SRC-000006 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-045,PT Perusahaan Gas Negara Tbk,PGN,IND-000006,Oil & Gas,Gas Distribution,SOE Public (Tbk),Jakarta,Indonesia,https://www.pgn.co.id,,Enterprise,Public filings,Public filings,Major natural gas transmission and distribution company in Indonesia.,Gas transmission/distribution,"Pipeline SCADA, commercial systems",Key economic corridors,Indonesia,C-Level,,,,,"Gas supply contracts, infrastructure capex",Network integrity management,"Network digitalization, customer platforms",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.90 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-046,PT Waskita Karya (Persero) Tbk,Waskita,IND-000009,Construction,Infrastructure Construction,SOE Public (Tbk),Jakarta,Indonesia,https://www.waskita.co.id,,Enterprise,Public filings,Public filings,Construction company engaged in infrastructure and building projects.,"Civil construction, infrastructure",Project controls systems,Project sites nationwide,Indonesia,C-Level,,,,,"Project cash cycles, sector demand",Project controls discipline,Project controls digitalization,,,High,2026-07-10,SRC-000001;SRC-000008,confidence=0.88 | sources=SRC-000001;SRC-000008 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-047,PT Wijaya Karya (Persero) Tbk,WIKA,IND-000009,Construction,Construction & EPC,SOE Public (Tbk),Jakarta,Indonesia,https://www.wika.co.id,,Enterprise,Public filings,Public filings,Construction and engineering group active in infrastructure projects.,"Construction, EPC-related businesses",Project management systems,Multi-project,Indonesia + selective overseas,C-Level,,,,,"Funding cycles, execution risk",Multi-project coordination,Digital project controls,,,Medium-High,2026-07-10,SRC-000001;SRC-000008,confidence=0.89 | sources=SRC-000001;SRC-000008 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-048,PT Jasa Marga (Persero) Tbk,Jasa Marga,IND-000010,Transportation & Logistics,Toll Road Operator,SOE Public (Tbk),Jakarta,Indonesia,https://www.jasamarga.com,,Enterprise,Public filings,Public filings,Major toll road developer and operator in Indonesia.,Toll road operations and related services,"Toll systems, traffic ops",Multiple corridors,Indonesia,C-Level,,,,,"Traffic demand variability, capex",Toll system modernization,"ITS, cashless toll ops",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.90 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-049,PT Garuda Indonesia (Persero) Tbk,Garuda Indonesia,IND-000038,Aviation,Full-Service Carrier,SOE Public (Tbk),Jakarta,Indonesia,https://www.garuda-indonesia.com,,Enterprise,Public filings,Public filings,National flag carrier airline.,Passenger and cargo air transport,PSS/airline ops systems,Domestic + international network,Indonesia + international,C-Level,,,,,"Fuel costs, demand recovery, restructuring",Fleet and ops efficiency,"Ops systems modernization, cargo",,,High,2026-07-10,SRC-000001;SRC-000004,confidence=0.89 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-050,PT Angkasa Pura Indonesia,Angkasa Pura,IND-000038,Aviation,Airport Operator,State-Owned Enterprise / Group,Jakarta,Indonesia,https://www.ap1.co.id,,Enterprise,Public materials,Public materials,Airport operator group managing major Indonesian airports (group branding evolves).,Airport operations and commercial services,Airport ops systems,Multiple airports,Indonesia,C-Level,,,,,"Traffic volatility, capex",Passenger experience systems,"Airport digital ops, non-aero revenue systems",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.87 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-051,PT Pelabuhan Indonesia (Persero),Pelindo,IND-000040,Ports & Terminals,Port Operator,State-Owned Enterprise,Jakarta,Indonesia,https://www.pelindo.co.id,,Enterprise,Public materials,Public materials,Integrated national port operator after port SOE integration.,Port and terminal operations,Terminal operating systems,Major ports nationwide,Indonesia,C-Level / Board,,,,,"Trade volumes, integration of entities",System standardization post-integration,"TOS modernization, logistics integration",,,Medium,2026-07-10,SRC-000001;SRC-000006;SRC-000004,confidence=0.90 | sources=SRC-000001;SRC-000006;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-052,PT Samudera Indonesia Tbk,Samudera,IND-000039,Maritime & Shipping,Shipping & Logistics,Public Company (Tbk),Jakarta,Indonesia,https://www.samudera.id,,Enterprise,Public filings,Public filings,Shipping and logistics company listed in Indonesia.,"Shipping, logistics services",Fleet/ops systems,Domestic/regional lanes,Indonesia + regional,C-Level,,,,,Freight rate cycles,Fleet utilization,Digital logistics visibility,,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.88 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-053,PT Bukalapak.com Tbk,Bukalapak,IND-000014,E-commerce,Marketplace,Public Company (Tbk),Jakarta,Indonesia,https://www.bukalapak.com,,Enterprise,Public filings,Public filings,Indonesian e-commerce marketplace company.,Online marketplace and related digital services,Marketplace platforms,Nationwide digital,Indonesia,C-Level,,,,,"Competitive intensity, monetization",Seller quality and logistics partners,"Seller tools, fintech adjacency controls",,,Medium-High,2026-07-10,SRC-000004;SRC-000001,confidence=0.89 | sources=SRC-000004;SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-054,PT Global Digital Niaga Tbk,Blibli,IND-000014,E-commerce,Marketplace / Retail Digital,Public Company (Tbk),Jakarta,Indonesia,https://www.blibli.com,,Enterprise,Public filings,Public filings,Indonesian digital commerce company operating marketplace and retail digital channels.,Marketplace and digital retail,Commerce platforms,Nationwide digital,Indonesia,C-Level,,,,,"Competition, logistics cost",Fulfillment reliability,"WMS/OMS optimization, data platforms",,,Medium,2026-07-10,SRC-000004;SRC-000001,confidence=0.88 | sources=SRC-000004;SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-055,PT Media Nusantara Citra Tbk,MNC Media,IND-000036,Media & Entertainment,Broadcast Media,Public Company (Tbk),Jakarta,Indonesia,https://www.mnc.co.id,,Enterprise,Public filings,Public filings,Media group with free-to-air TV and content businesses.,"TV broadcasting, content","Broadcast systems, digital content platforms",Nationwide broadcast,Indonesia,C-Level,,,,,"Ad market cycles, digital shift",Linear-to-digital transition,"Digital ad stack, content platforms",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.88 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-056,PT Elang Mahkota Teknologi Tbk,Emtek,IND-000036,Media & Entertainment,Media & Digital,Public Company (Tbk),Jakarta,Indonesia,https://www.emtek.co.id,,Enterprise,Public filings,Public filings,Media and technology investment group including broadcast and digital platforms.,"Media, digital services portfolio",Broadcast/digital platforms,Nationwide,Indonesia,C-Level / Board,,,,,"Advertising cycles, platform competition",Portfolio focus,"Digital platform scale, data",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.88 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-057,PT Kalbe Farma Tbk,Kalbe,IND-000026,Pharmaceuticals,Pharma & Health,Public Company (Tbk),Jakarta,Indonesia,https://www.kalbe.co.id,,Enterprise,Public filings,Public filings,Leading Indonesian pharmaceutical and health company.,"Pharmaceuticals, consumer health, distribution","Manufacturing quality systems, distribution",Nationwide,Indonesia + export,C-Level,,,,,"Regulation, competition, API supply",Quality compliance load,"Quality digitalization, distribution analytics",,,Medium,2026-07-10,SRC-000001;SRC-000004;SRC-000007,confidence=0.91 | sources=SRC-000001;SRC-000004;SRC-000007 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-058,PT Kimia Farma Tbk,Kimia Farma,IND-000026,Pharmaceuticals,Pharma SOE,SOE Public (Tbk),Jakarta,Indonesia,https://www.kimiafarma.co.id,,Enterprise,Public filings,Public filings,State-linked pharmaceutical manufacturer and pharmacy network operator.,"Pharma manufacturing, pharmacy retail",Manufacturing & retail systems,Nationwide pharmacies,Indonesia,C-Level,,,,,Healthcare policy shifts,Network pharmacy ops consistency,"Retail systems, manufacturing quality systems",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.89 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-059,PT Siloam International Hospitals Tbk,Siloam,IND-000027,Healthcare Services,Hospital Network,Public Company (Tbk),Tangerang / Jakarta,Indonesia,https://www.siloamhospitals.com,,Enterprise,Public filings,Public filings,Private hospital network operating multi-city facilities.,Hospital services,HIS/clinical systems,Multi-city hospitals,Indonesia,C-Level,,,,,"Talent competition, cost inflation",Clinical system standardization,"HIS integration, revenue cycle systems",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.90 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-060,PT Mitra Keluarga Karyasehat Tbk,Mitra Keluarga,IND-000027,Healthcare Services,Hospital Network,Public Company (Tbk),Jakarta,Indonesia,https://www.mitrakeluarga.com,,Enterprise,Public filings,Public filings,Private hospital group serving Indonesian urban markets.,Hospital care services,Hospital information systems,Multiple hospitals,Indonesia,C-Level,,,,,Capacity expansion quality,Clinical ops standardization,"Digital clinical pathways, RCM",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.89 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-061,PT Asuransi Tugu Pratama Indonesia Tbk,Tugu Insurance,IND-000028,Insurance,General Insurance,Public Company (Tbk),Jakarta,Indonesia,https://www.tugu.com,,Enterprise,Public filings,Public filings,General insurance company listed in Indonesia.,General insurance products,Policy/claims systems,Nationwide distribution partners,Indonesia,C-Level,,,,,"Underwriting cycles, catastrophe risk",Claims ops scale,Digital underwriting/claims tooling,,,Medium,2026-07-10,SRC-000010;SRC-000001,confidence=0.88 | sources=SRC-000010;SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-062,PT Asuransi Jiwa Sinarmas MSIG Tbk,Sinarmas MSIG Life,IND-000028,Insurance,Life Insurance,Public Company (Tbk),Jakarta,Indonesia,https://www.sinarmas-msig.com,,Enterprise,Public materials,Public materials,Life insurance joint venture company operating in Indonesia.,Life insurance products,Policy admin systems,Nationwide agency/partners,Indonesia,C-Level,,,,,"Interest rate / investment risk, distribution",Policy admin efficiency,"Digital distribution, PAS modernization",,,Medium,2026-07-10,SRC-000010;SRC-000001,confidence=0.87 | sources=SRC-000010;SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-063,PT Bank Tabungan Negara (Persero) Tbk,BTN,IND-000002,Banking,Housing Finance Focus,SOE Public (Tbk),Jakarta,Indonesia,https://www.btn.co.id,,Enterprise,Public filings,Public filings,Bank with strong housing finance franchise in Indonesia.,Mortgage and retail banking,"Core banking, mortgage ops systems",Nationwide,Indonesia,C-Level,,,,,"Housing market cycles, asset quality",Mortgage process efficiency,Digital mortgage origination,,,Medium,2026-07-10,SRC-000010;SRC-000001,confidence=0.91 | sources=SRC-000010;SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-064,PT Bank Negara Indonesia (Persero) Tbk,BNI,IND-000002,Banking,Commercial Banking,SOE Public (Tbk),Jakarta,Indonesia,https://www.bni.co.id,,Enterprise,Public filings,Public filings,Major Indonesian commercial bank with corporate and retail franchises.,"Corporate, retail, international banking",Core banking platforms,Nationwide + overseas branches,Indonesia + select overseas,C-Level / Board,,,,,"Credit cycles, digital competition",Legacy modernization,"Transaction banking platforms, data",,,Medium,2026-07-10,SRC-000010;SRC-000001;SRC-000004,confidence=0.92 | sources=SRC-000010;SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-065,PT Bank Syariah Indonesia Tbk,BSI,IND-000002,Banking,Islamic Banking,Public Company (Tbk),Jakarta,Indonesia,https://www.bankbsi.co.id,,Enterprise,Public filings,Public filings,Largest Indonesian Islamic bank following industry consolidation.,Sharia banking products,Core banking / digital channels,Nationwide,Indonesia,C-Level,,,,,Integration legacy of merged entities,Product/system harmonization,Digital sharia banking scale,,,Medium,2026-07-10,SRC-000010;SRC-000001,confidence=0.90 | sources=SRC-000010;SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-066,PT Bank Jago Tbk,Bank Jago,IND-000030,Fintech & Digital Finance,Digital Bank,Public Company (Tbk),Jakarta,Indonesia,https://www.jago.com,,Medium-Enterprise,Public filings,Public filings,Digital-focused bank partnering with ecosystems for retail financial services.,Digital banking products,Cloud-native banking stack (public materials),Digital-first,Indonesia,C-Level,,,,,"Scale economics, partnership dependency",Customer acquisition cost,"Risk engines, partner integrations",,,Medium-High,2026-07-10,SRC-000010;SRC-000004,confidence=0.89 | sources=SRC-000010;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-067,PT Allo Bank Indonesia Tbk,Allo Bank,IND-000030,Fintech & Digital Finance,Digital Bank,Public Company (Tbk),Jakarta,Indonesia,https://www.allobank.com,,Medium-Enterprise,Public filings,Public filings,Digital banking player in Indonesia.,Digital banking,Digital banking platforms,Digital-first,Indonesia,C-Level,,,,,Competition among digital banks,Differentiation,"Product analytics, risk platforms",,,Medium-High,2026-07-10,SRC-000010;SRC-000004,confidence=0.87 | sources=SRC-000010;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-068,PT Bank Neo Commerce Tbk,Bank Neo Commerce,IND-000030,Fintech & Digital Finance,Digital Bank,Public Company (Tbk),Jakarta,Indonesia,https://www.bankneocommerce.co.id,,Medium-Enterprise,Public filings,Public filings,Digital banking company serving retail segments in Indonesia.,Digital deposits/loans adjacency,Digital banking systems,Digital-first,Indonesia,C-Level,,,,,"Funding costs, credit quality",Risk operations scale,"Credit decisioning, collections digital",,,Medium-High,2026-07-10,SRC-000010;SRC-000004,confidence=0.87 | sources=SRC-000010;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-069,PT Ciputra Development Tbk,Ciputra,IND-000033,Real Estate,Property Development,Public Company (Tbk),Jakarta,Indonesia,https://www.ciputra.com,,Enterprise,Public filings,Public filings,Property developer with residential and township projects.,Property development and related services,Project and sales systems,Multi-city projects,Indonesia,C-Level,,,,,"Interest rates, demand cycles",Project delivery coordination,"Sales systems, smart township ops",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.89 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-070,PT Pakuwon Jati Tbk,Pakuwon,IND-000033,Real Estate,Commercial Property,Public Company (Tbk),Surabaya / Jakarta,Indonesia,https://www.pakuwonjati.com,,Enterprise,Public filings,Public filings,Developer and operator of malls and mixed-use properties.,"Malls, offices, mixed-use",Property ops systems,Key cities,Indonesia,C-Level,,,,,"Retail footfall recovery, e-comm impact",Tenant mix management,"Mall analytics, BMS modernization",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.88 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-071,PT Alam Sutera Realty Tbk,Alam Sutera,IND-000033,Real Estate,Township Development,Public Company (Tbk),Tangerang,Indonesia,https://www.alam-sutera.com,,Enterprise,Public filings,Public filings,Township and property developer in Greater Jakarta.,Residential/commercial township development,Project systems,Greater Jakarta focus,Indonesia,C-Level,,,,,Property cycles,Infrastructure delivery timing,"Project controls, digital sales",,,Medium,2026-07-10,SRC-000001,confidence=0.86 | sources=SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-072,PT Ace Hardware Indonesia Tbk,ACE Hardware Indonesia,IND-000012,Retail Trade,Home Improvement Retail,Public Company (Tbk),Jakarta,Indonesia,https://www.acehardware.co.id,,Enterprise,Public filings,Public filings,Specialty retail chain for home improvement products.,Retail stores and related channels,Retail POS/inventory systems,Multi-city stores,Indonesia,C-Level,,,,,"Consumer demand, competition",Omnichannel inventory,"WMS/POS optimization, loyalty data",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.89 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-073,PT Sumber Alfaria Trijaya Tbk,Alfamart,IND-000012,Retail Trade,Convenience Retail,Public Company (Tbk),Tangerang,Indonesia,https://www.alfamartku.com,,Enterprise,Public filings,Public filings,Large convenience store chain operating thousands of outlets.,Convenience retail,"Store systems, supply chain systems",Nationwide store network,Indonesia,C-Level,,,,,"Thin retail margins, competition",Store-level execution consistency,"Fresh supply chain, store analytics",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.92 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-074,PT Midi Utama Indonesia Tbk,Alfamidi,IND-000012,Retail Trade,Supermarket / Convenience,Public Company (Tbk),Jakarta,Indonesia,https://www.alfamidiku.com,,Enterprise,Public filings,Public filings,Retail chain under related retail group serving mid-format stores.,Grocery/convenience retail,Retail systems,Multi-city,Indonesia,C-Level,,,,,Competition with minimarket peers,Assortment localization,"Inventory optimization, fresh logistics",,,Medium,2026-07-10,SRC-000001,confidence=0.88 | sources=SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-075,PT Aspirasi Hidup Indonesia Tbk,AHI (Informasi Ritel Grup),IND-000012,Retail Trade,Specialty Retail,Public Company (Tbk),Jakarta,Indonesia,https://www.azko.co.id,,Enterprise,Public filings,Public filings,Specialty retail company (home/lifestyle retail brands) listed in Indonesia.,Specialty retail brands/stores,Retail systems,Multi-city,Indonesia,C-Level,,,,,Discretionary spend cycles,Omnichannel execution,"Retail analytics, inventory systems",,,Medium,2026-07-10,SRC-000001,confidence=0.86 | sources=SRC-000001 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-076,PT Tower Bersama Infrastructure Tbk,TBI,IND-000003,Telecommunications,Tower Infrastructure,Public Company (Tbk),Jakarta,Indonesia,https://www.tower-bersama.com,,Enterprise,Public filings,Public filings,Telecommunications tower infrastructure company.,Tower leasing and related infrastructure,Tower ops systems,Nationwide tower footprint,Indonesia,C-Level,,,,,"Tenancy growth cycles, rates",Field ops efficiency,"Field force systems, asset monitoring",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.89 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-077,PT Sarana Menara Nusantara Tbk,Protelindo / SMN,IND-000003,Telecommunications,Tower Infrastructure,Public Company (Tbk),Jakarta,Indonesia,https://www.ptsmn.co.id,,Enterprise,Public filings,Public filings,Major independent tower company in Indonesia.,Telecom towers and related services,Asset management systems,Nationwide,Indonesia,C-Level,,,,,Operator capex cycles,Site acquisition and maintenance,"IoT site monitoring, field ops",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.89 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-078,PT Dayamitra Telekomunikasi Tbk,Mitratel,IND-000003,Telecommunications,Tower Infrastructure,Public Company (Tbk),Jakarta,Indonesia,https://www.mitratel.co.id,,Enterprise,Public filings,Public filings,Tower company affiliated with Telkom group.,Tower infrastructure,Asset/ops systems,Nationwide,Indonesia,C-Level,,,,,Industry tenancy competition,Operational excellence at scale,"Digital field ops, energy at site",,,Medium,2026-07-10,SRC-000001;SRC-000004,confidence=0.90 | sources=SRC-000001;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
COMP-079,PT Indah Kiat Pulp & Paper Tbk,Indah Kiat,IND-000001,Manufacturing,Pulp & Paper,Public Company (Tbk),Jakarta / Riau ops,Indonesia,https://www.ikk.co.id,,Enterprise,Public filings,Public filings,Pulp and paper manufacturer within Indonesian industrial groups.,Pulp and paper products,Process manufacturing systems,Key mill locations,Indonesia + export,C-Level,,,,,"Commodity prices, ESG",Energy and environmental compliance,"Process efficiency, environmental monitoring",,,Medium-High,2026-07-10,SRC-000001;SRC-000007;SRC-000004,confidence=0.88 | sources=SRC-000001;SRC-000007;SRC-000004 | retrieved=2026-07-10 | version=knowledge-v2.0-batch-004-company | batch=Batch-004 | class=public_company_profile | grounding=public_filings_and_official_sites_only | no_private_crm_claims | dps=v1.0
